Date,over 60 vaccinated(1st dose),over 45 vaccinated (1st dose),total_doses(1st+2nd)
16/01,0,0,382362
17/01,0,0,415482
18/01,0,0,645230
19/01,0,0,821598
20/01,0,0,997665
21/01,0,0,1234715
22/01,0,0,1581773
23/01,0,0,1773382
24/01,0,0,1806685
25/01,0,0,2214990
26/01,0,0,2220661
27/01,0,0,2547160
28/01,0,0,3119234
29/01,0,0,3691208
30/01,0,0,3935515
31/01,0,0,3950024
01/02,0,0,4141337
02/02,0,0,4330099
03/02,0,0,4640733
04/02,0,0,5150626
05/02,0,0,5608030
06/02,0,0,5966503
07/02,0,0,6003543
08/02,0,0,6450189
09/02,0,0,6802742
10/02,0,0,7208295
11/02,0,0,7696191
12/02,0,0,8158828
13/02,0,0,8455039
14/02,0,0,8476476
15/02,0,0,8912003
16/02,0,0,9190411
17/02,0,0,9613409
18/02,0,0,10379188
19/02,0,0,10906385
20/02,0,0,11276354
21/02,0,0,11308035
22/02,0,0,11936733
23/02,0,0,12356779
24/02,0,0,12862344
25/02,0,0,13663824
26/02,0,0,14433728
27/02,0,0,14492447
28/02,0,0,14492447
01/03,182992,207271,15045317
02/03,522458,594354,15811930
03/03,1000698,1144457,16807229
04/03,1616920,1852821,18196684
05/03,2378275,2725033,19688885
06/03,3123873,3599914,21113525
07/03,3151794,3632455,21180191
08/03,4374145,5075954,23199914
09/03,5104123,5937649,24559087
10/03,5815664,6782722,25876192
11/03,6061034,7091646,26356101
12/03,7291716,8546184,28409638
13/03,8187007,9627099,29929590
14/03,8292193,9756207,30099219
15/03,10269368,12158095,33138613
16/03,11589444,13755852,35255717
17/03,12858680,15315859,37334436
18/03,14177766,16957764,39530998
19/03,15953973,19177585,42254573
20/03,17627418,21260891,44795022
21/03,17970931,21692386,45257179
22/03,20231137,24529447,48685775
23/03,21750472,26452366,51032467
24/03,23255262,28387211,53336890
25/03,24767172,30366944,55695621
26/03,26405333,32577365,58300954
27/03,27724920,34398582,60460963
28/03,27859901,34591124,60721616
29/03,28219257,35091740,61304535
30/03,29371422,36724379,63245534
31/03,30512070,38348737,65309077
01/04,31705893,41489508,68980319
02/04,32305937,44577337,73245476
03/04,32905982,47070019,76170832
04/04,33506026,49931635,79296344
05/04,34106071,53588535,83302107
06/04,35375953,57236662,87268655
07/04,36332851,60027338,90389854
08/04,37568033,63671847,94525443
09/04,38653105,66908149,98266341
10/04,39651630,69928283,101786328
11/04,40530321,72577232,104719746
12/04,41712654,75930829,108724266
13/04,42466354,78116798,111370759
14/04,43471031,80901109,114684419
15/04,44230842,82972732,117414690
16/04,44935011,84158986,120128822
17/04,45594522,86069515,122813771
18/04,45905265,86971727,124043747
19/04,46682963,89055732,127320294
20/04,47355942,90881629,130310491
21/04,47867118,92296002,132521825
22/04,48534810,94099140,135669601
23/04,49145265,95816805,138571013
24/04,49655753,97339545,141107598
25/04,49872209,97980502,142102404
26/04,50577743,99925981,145462367
27/04,51085677,101360258,148018548
28/04,51499834,102524720,150211829
29/04,51901218,103680060,152436360
30/04,52378616,105086537,155180816
01/05,52618135,105899111,157007212
02/05,52717186,105883009,157389388
03/05,52816238,105866907,159124102
04/05,52950584,106344937,160685369
